gene,n_sources,sources
NDUFAF2,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
NFE2L2,2,CTD_Hyperglycemia;CTD_Insulin_Resistance
NFKB1,2,KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance
NKX6-1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
NPTX1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
NR1D1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
NUS1,2,CTD_Hyperglycemia;CTD_Insulin_Resistance
OSBP,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
OXCT1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
PAX2,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
PAX4,2,HPO_Hyperglycemia;HPO_Insulin_resistance
PCYT1A,2,HPO_Hyperglycemia;HPO_Insulin_resistance
PDE8B,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
PDPK1,2,GOBP_RESPONSE_TO_INSULIN;KEGG_insulin_resistance
PHPT1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
PIH1D1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
PIM3,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
PKM,2,GOBP_RESPONSE_TO_INSULIN;KEGG_type_II_diabetes
PLA2G6,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
PPARD,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
PPP1R3A,2,HPO_Insulin_resistance;KEGG_insulin_resistance
PPP3CB,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
PRKACA,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
PRKAR1A,2,CTD_Hyperglycemia;CTD_Insulin_Resistance
PRKCQ,2,GOBP_RESPONSE_TO_INSULIN;KEGG_insulin_resistance
PRKN,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
PRLH,2,GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
PTEN,2,CTD_Insulin_Resistance;KEGG_insulin_resistance
PTPN11,2,GOBP_RESPONSE_TO_INSULIN;KEGG_insulin_resistance
PTPRN,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
PTPRN2,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
RAB11B,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
RAB11FIP2,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
RAB11FIP5,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
RACK1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
RELA,2,KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance
RPS6KA2,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;KEGG_insulin_resistance
RPS6KB1,2,GOBP_RESPONSE_TO_INSULIN;KEGG_insulin_resistance
RPS6KB2,2,GOBP_RESPONSE_TO_INSULIN;KEGG_insulin_resistance
RPTOR,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
SELENOS,2,GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
SELENOT,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
SESN2,2,GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
SGCB,2,GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
SIDT2,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
SIN3A,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
SIRT1,2,CTD_Insulin_Resistance;GOBP_RESPONSE_TO_INSULIN
SLC12A6,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
SLC12A7,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
SLC26A6,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
SLC27A1,2,GOBP_RESPONSE_TO_INSULIN;KEGG_insulin_resistance
SLC27A4,2,GOBP_RESPONSE_TO_INSULIN;KEGG_insulin_resistance
SLC29A1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
SLC2A1,2,GOBP_RESPONSE_TO_INSULIN;KEGG_insulin_resistance
SLC2A5,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
SLC30A8,2,GOBP_RESPONSE_TO_MONOSACCHARIDE;HPO_Insulin_resistance
SLC5A2,2,HPO_Hyperglycemia;HPO_Insulin_resistance
SLC9B2,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
SMAD2,2,GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_AGE_RAGE_diabetic_complications
SMARCA4,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
SMARCB1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
SOCS1,2,GOBP_RESPONSE_TO_INSULIN;KEGG_type_II_diabetes
SOD2,2,CTD_Insulin_Resistance;GOBP_RESPONSE_TO_MONOSACCHARIDE
SOX4,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
SP1,2,CTD_Hyperglycemia;GOBP_RESPONSE_TO_INSULIN
SRF,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
SRI,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
STX4,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
TBC1D4,2,GOBP_RESPONSE_TO_INSULIN;KEGG_insulin_resistance
TCF7L2,2,GOBP_RESPONSE_TO_MONOSACCHARIDE;HPO_Insulin_resistance
TRA2B,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
TREM2,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
TRPA1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
TRPM4,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
TRPM5,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
TUNAR,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
UBTF,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
UNC13B,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
USF2,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
VAMP2,2,GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
VSNL1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
WRN,2,HPO_Hyperglycemia;HPO_Insulin_resistance
ZBED3,2,GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
ZBED6,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
ZBTB20,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
ZC3H10,2,CTD_Hyperglycemia;CTD_Insulin_Resistance
ZFP36L1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN
ZMPSTE24,2,HPO_Hyperglycemia;HPO_Insulin_resistance
ZNF236,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
A,1,CTD_Hyperglycemia
AANAT,1,GOBP_RESPONSE_TO_INSULIN
ABCC2,1,GOBP_RESPONSE_TO_INSULIN
ACAT1,1,HPO_Hyperglycemia
ACVR2B,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
ADCY3,1,HPO_Insulin_resistance
ADIPOR1,1,GOBP_RESPONSE_TO_INSULIN
ADRB2,1,CTD_Insulin_Resistance
AFF4,1,HPO_Hyperglycemia
AGRP,1,GOBP_RESPONSE_TO_INSULIN
AGTR1,1,KEGG_AGE_RAGE_diabetic_complications
AHDC1,1,GOBP_RESPONSE_TO_INSULIN
AHR,1,CTD_Insulin_Resistance
AHSG,1,GOBP_RESPONSE_TO_INSULIN
AIP,1,HPO_Insulin_resistance
ALAS1,1,GOBP_RESPONSE_TO_INSULIN
ALPL,1,GOBP_RESPONSE_TO_INSULIN
ANGPT2,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
AP3S1,1,GOBP_RESPONSE_TO_INSULIN
APC,1,GOBP_RESPONSE_TO_INSULIN
APOA2,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
APPL2,1,GOBP_RESPONSE_TO_INSULIN
AR,1,CTD_Insulin_Resistance
ARL6,1,HPO_Insulin_resistance
ARMC5,1,HPO_Hyperglycemia
AS3MT,1,CTD_Insulin_Resistance
ATP2B1,1,GOBP_RESPONSE_TO_INSULIN
BAIAP2,1,GOBP_RESPONSE_TO_INSULIN
BAX,1,KEGG_AGE_RAGE_diabetic_complications
BBIP1,1,HPO_Insulin_resistance
BBS1,1,HPO_Insulin_resistance
BBS10,1,HPO_Insulin_resistance
BBS12,1,HPO_Insulin_resistance
BBS2,1,HPO_Insulin_resistance
BBS4,1,HPO_Insulin_resistance
BBS5,1,HPO_Insulin_resistance
BBS7,1,HPO_Insulin_resistance
BCAR1,1,GOBP_RESPONSE_TO_INSULIN
BCAR3,1,GOBP_RESPONSE_TO_INSULIN
BCL2,1,KEGG_AGE_RAGE_diabetic_complications
BCS1L,1,HPO_Hyperglycemia
BGLAP,1,GOBP_RESPONSE_TO_INSULIN
BLK,1,HPO_Hyperglycemia
BLM,1,HPO_Insulin_resistance
BLVRA,1,GOBP_RESPONSE_TO_INSULIN
BLVRB,1,GOBP_RESPONSE_TO_INSULIN
BMP6,1,HPO_Hyperglycemia
BSCL2,1,HPO_Insulin_resistance
C2CD5,1,GOBP_RESPONSE_TO_INSULIN
C3,1,CTD_Insulin_Resistance
CA1,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
CA3,1,GOBP_RESPONSE_TO_INSULIN
CACNA1A,1,KEGG_type_II_diabetes
CACNA1B,1,KEGG_type_II_diabetes
CACNA1C,1,KEGG_type_II_diabetes
CACNA1D,1,KEGG_type_II_diabetes
CACNA1E,1,KEGG_type_II_diabetes
CACNA1G,1,KEGG_type_II_diabetes
CAD,1,GOBP_RESPONSE_TO_INSULIN
CALCRL,1,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS
CAPN10,1,GOBP_RESPONSE_TO_INSULIN
CASP1,1,CTD_Insulin_Resistance
CAV1,1,HPO_Insulin_resistance
CAV2,1,GOBP_RESPONSE_TO_INSULIN
CAVIN1,1,HPO_Insulin_resistance
CCDC28B,1,HPO_Insulin_resistance
CCDC92,1,GOBP_RESPONSE_TO_INSULIN
CCND1,1,KEGG_AGE_RAGE_diabetic_complications
CD101,1,GOBP_RESPONSE_TO_INSULIN
CD2AP,1,GOBP_RESPONSE_TO_INSULIN
CD4,1,HPO_Insulin_resistance
CD68,1,CTD_Insulin_Resistance
CDC42,1,KEGG_AGE_RAGE_diabetic_complications
CDK4,1,KEGG_AGE_RAGE_diabetic_complications
CDKN1B,1,KEGG_AGE_RAGE_diabetic_complications
CEACAM1,1,GOBP_RESPONSE_TO_INSULIN
CEL,1,HPO_Hyperglycemia
CELA2A,1,GOBP_RESPONSE_TO_INSULIN
CEP19,1,HPO_Insulin_resistance
CEP290,1,HPO_Insulin_resistance
CFAP418,1,HPO_Insulin_resistance
CFLAR,1,GOBP_RESPONSE_TO_INSULIN
CITED1,1,GOBP_RESPONSE_TO_INSULIN
CLCNKB,1,HPO_Insulin_resistance
CLEC7A,1,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS
CNR2,1,CTD_Hyperglycemia
COL1A2,1,KEGG_AGE_RAGE_diabetic_complications
COL4A1,1,KEGG_AGE_RAGE_diabetic_complications
COL4A2,1,KEGG_AGE_RAGE_diabetic_complications
COL4A3,1,KEGG_AGE_RAGE_diabetic_complications
COL4A4,1,KEGG_AGE_RAGE_diabetic_complications
COL4A5,1,KEGG_AGE_RAGE_diabetic_complications
COL4A6,1,KEGG_AGE_RAGE_diabetic_complications
COL6A1,1,GOBP_RESPONSE_TO_INSULIN
COL6A3,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
COLEC12,1,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS
CPE,1,CTD_Insulin_Resistance
CPEB1,1,GOBP_RESPONSE_TO_INSULIN
CPEB2,1,GOBP_RESPONSE_TO_INSULIN
CPT1A,1,KEGG_insulin_resistance
CPT1B,1,KEGG_insulin_resistance
CREB1,1,KEGG_insulin_resistance
CREB3,1,KEGG_insulin_resistance
CREB3L1,1,KEGG_insulin_resistance
CREB3L2,1,KEGG_insulin_resistance
CREB3L3,1,KEGG_insulin_resistance
CREB3L4,1,KEGG_insulin_resistance
CREB5,1,KEGG_insulin_resistance
CRTC2,1,KEGG_insulin_resistance
CRY1,1,GOBP_RESPONSE_TO_INSULIN
CRY2,1,GOBP_RESPONSE_TO_INSULIN
CSRP3,1,GOBP_RESPONSE_TO_INSULIN
CTF1,1,CTD_Insulin_Resistance
CTSD,1,GOBP_RESPONSE_TO_INSULIN
CUL3,1,GOBP_RESPONSE_TO_INSULIN
CUL7,1,GOBP_RESPONSE_TO_INSULIN
CXCL8,1,KEGG_AGE_RAGE_diabetic_complications
CYBB,1,KEGG_AGE_RAGE_diabetic_complications
CYC1,1,HPO_Hyperglycemia
CYP19A1,1,HPO_Insulin_resistance
CYP4F2,1,CTD_Hyperglycemia
DBH,1,HPO_Insulin_resistance
DENND4C,1,GOBP_RESPONSE_TO_INSULIN
DIAPH1,1,KEGG_AGE_RAGE_diabetic_complications
DLST,1,HPO_Hyperglycemia
DNAI1,1,GOBP_RESPONSE_TO_INSULIN
DNMT3A,1,HPO_Hyperglycemia
DYRK1B,1,HPO_Hyperglycemia
ECHDC3,1,GOBP_RESPONSE_TO_INSULIN
EDN1,1,KEGG_AGE_RAGE_diabetic_complications
EEF2K,1,GOBP_RESPONSE_TO_INSULIN
EGFR,1,CTD_Insulin_Resistance
EIF2B1,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
EIF2B2,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
EIF2B3,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
EIF2B4,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
EIF2B5,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
EIF4EBP2,1,GOBP_RESPONSE_TO_INSULIN
EIF6,1,GOBP_RESPONSE_TO_INSULIN
ELAVL1,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
EPAS1,1,HPO_Hyperglycemia
EPM2AIP1,1,GOBP_RESPONSE_TO_INSULIN
EPRS1,1,GOBP_RESPONSE_TO_INSULIN
ERCC6,1,HPO_Insulin_resistance
ERFE,1,GOBP_RESPONSE_TO_INSULIN
ERRFI1,1,GOBP_RESPONSE_TO_INSULIN
ESR1,1,CTD_Insulin_Resistance
ESR2,1,CTD_Insulin_Resistance
F3,1,KEGG_AGE_RAGE_diabetic_complications
FABP3,1,GOBP_RESPONSE_TO_INSULIN
FAM3A,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
FBN1,1,CTD_Hyperglycemia
FBXW8,1,GOBP_RESPONSE_TO_INSULIN
FCGR3B,1,CTD_Hyperglycemia
FER,1,GOBP_RESPONSE_TO_INSULIN
FFAR3,1,GOBP_RESPONSE_TO_INSULIN
FGF15,1,CTD_Insulin_Resistance
FH,1,HPO_Hyperglycemia
FN1,1,KEGG_AGE_RAGE_diabetic_complications
FOS,1,GOBP_RESPONSE_TO_INSULIN
FOXC2,1,GOBP_RESPONSE_TO_INSULIN
FOXE1,1,GOBP_RESPONSE_TO_INSULIN
FOXO4,1,GOBP_RESPONSE_TO_INSULIN
FUT7,1,GOBP_RESPONSE_TO_INSULIN
G6PC2,1,KEGG_insulin_resistance
G6PC3,1,KEGG_insulin_resistance
GAB1,1,GOBP_RESPONSE_TO_INSULIN
GAL,1,GOBP_RESPONSE_TO_INSULIN
GALP,1,GOBP_RESPONSE_TO_INSULIN
GATA6,1,HPO_Hyperglycemia
GCKR,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
GCSH,1,HPO_Hyperglycemia
GFPT1,1,KEGG_insulin_resistance
GFPT2,1,KEGG_insulin_resistance
GH1,1,CTD_Insulin_Resistance
GHR,1,GOBP_RESPONSE_TO_INSULIN
GHSR,1,GOBP_RESPONSE_TO_INSULIN
GIP,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
GIPR,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
GJD3,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
GKAP1,1,GOBP_RESPONSE_TO_INSULIN
GLI3,1,HPO_Hyperglycemia
GLUL,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
GOT1,1,GOBP_RESPONSE_TO_INSULIN
GPAM,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
GPD2,1,HPO_Insulin_resistance
GPR101,1,HPO_Insulin_resistance
GPR17,1,CTD_Insulin_Resistance
GPR21,1,GOBP_RESPONSE_TO_INSULIN
GPR55,1,CTD_Hyperglycemia
GPX3,1,CTD_Insulin_Resistance
GRB14,1,GOBP_RESPONSE_TO_INSULIN
GRB2,1,GOBP_RESPONSE_TO_INSULIN
GRB7,1,GOBP_RESPONSE_TO_INSULIN
GSK3A,1,GOBP_RESPONSE_TO_INSULIN
GUCA2B,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
GYS1,1,KEGG_insulin_resistance
HADH,1,GOBP_RESPONSE_TO_INSULIN
HADHA,1,GOBP_RESPONSE_TO_INSULIN
HDAC5,1,GOBP_RESPONSE_TO_INSULIN
HDAC9,1,GOBP_RESPONSE_TO_INSULIN
HFE,1,HPO_Hyperglycemia
HID1,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
HK1,1,KEGG_type_II_diabetes
HK2,1,KEGG_type_II_diabetes
HK3,1,KEGG_type_II_diabetes
HKDC1,1,KEGG_type_II_diabetes
HMOX1,1,CTD_Insulin_Resistance
HSD11B2,1,GOBP_RESPONSE_TO_INSULIN
HYMAI,1,HPO_Hyperglycemia
IDE,1,GOBP_RESPONSE_TO_INSULIN
IFT172,1,HPO_Insulin_resistance
IFT27,1,HPO_Insulin_resistance
IFT74,1,HPO_Insulin_resistance
IGF2,1,GOBP_RESPONSE_TO_INSULIN
IGFALS,1,CTD_Insulin_Resistance
IGFBP1,1,GOBP_RESPONSE_TO_INSULIN
IGFBP2,1,CTD_Insulin_Resistance
IL10,1,GOBP_RESPONSE_TO_INSULIN
IL1A,1,KEGG_AGE_RAGE_diabetic_complications
ILDR2,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
INHBB,1,GOBP_RESPONSE_TO_INSULIN
INPP5K,1,GOBP_RESPONSE_TO_INSULIN
INPPL1,1,GOBP_RESPONSE_TO_INSULIN
INS2,1,CTD_Hyperglycemia
INSIG1,1,GOBP_RESPONSE_TO_INSULIN
INSIG2,1,GOBP_RESPONSE_TO_INSULIN
INSRR,1,GOBP_RESPONSE_TO_INSULIN
IRF4,1,HPO_Insulin_resistance
ITGA2,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
JAK2,1,KEGG_AGE_RAGE_diabetic_complications
JUN,1,KEGG_AGE_RAGE_diabetic_complications
KANK1,1,GOBP_RESPONSE_TO_INSULIN
KAT2B,1,GOBP_RESPONSE_TO_INSULIN
KBTBD2,1,GOBP_RESPONSE_TO_INSULIN
KCNJ8,1,GOBP_RESPONSE_TO_INSULIN
KCNQ1,1,GOBP_RESPONSE_TO_INSULIN
KIF1B,1,HPO_Hyperglycemia
KLF11,1,HPO_Hyperglycemia
KLF14,1,CTD_Insulin_Resistance
KLF15,1,GOBP_RESPONSE_TO_INSULIN
KRAS,1,KEGG_AGE_RAGE_diabetic_complications
LCN2,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
LEMD2,1,HPO_Insulin_resistance
LIPE,1,HPO_Insulin_resistance
LMNB2,1,HPO_Insulin_resistance
LONP1,1,GOBP_RESPONSE_TO_INSULIN
LPIN1,1,GOBP_RESPONSE_TO_INSULIN
LPIN2,1,GOBP_RESPONSE_TO_INSULIN
LPIN3,1,GOBP_RESPONSE_TO_INSULIN
LPL,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
LRPPRC,1,HPO_Hyperglycemia
LYN,1,GOBP_RESPONSE_TO_INSULIN
LZTFL1,1,HPO_Insulin_resistance
MAP2K1,1,GOBP_RESPONSE_TO_INSULIN
MAP2K3,1,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS
MAPK11,1,KEGG_AGE_RAGE_diabetic_complications
MAPK12,1,KEGG_AGE_RAGE_diabetic_complications
MAPK8IP1,1,HPO_Insulin_resistance
MAPKAP1,1,GOBP_RESPONSE_TO_INSULIN
MAX,1,HPO_Hyperglycemia
MDH2,1,HPO_Hyperglycemia
MEAK7,1,GOBP_RESPONSE_TO_INSULIN
METRNL,1,CTD_Insulin_Resistance
METTL14,1,CTD_Insulin_Resistance
MFN2,1,HPO_Insulin_resistance
MIR103A1,1,GOBP_RESPONSE_TO_INSULIN
MIR107,1,GOBP_RESPONSE_TO_INSULIN
MIR1271,1,GOBP_RESPONSE_TO_INSULIN
MIR15B,1,GOBP_RESPONSE_TO_INSULIN
MIR195,1,GOBP_RESPONSE_TO_INSULIN
MIR221,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
MIR379,1,GOBP_RESPONSE_TO_INSULIN
MKKS,1,HPO_Insulin_resistance
MKS1,1,HPO_Insulin_resistance
MLX,1,KEGG_insulin_resistance
MLXIP,1,KEGG_insulin_resistance
MMP2,1,KEGG_AGE_RAGE_diabetic_complications
MRC1,1,CTD_Insulin_Resistance
MSTN,1,GOBP_RESPONSE_TO_INSULIN
MTCL2,1,GOBP_RESPONSE_TO_INSULIN
MTNR1B,1,HPO_Insulin_resistance
MYO1C,1,GOBP_RESPONSE_TO_INSULIN
MYO5A,1,GOBP_RESPONSE_TO_INSULIN
MZB1,1,GOBP_RESPONSE_TO_INSULIN
N-TUTCA2,1,CTD_Insulin_Resistance
NAMPT,1,GOBP_RESPONSE_TO_INSULIN
NARS2,1,HPO_Hyperglycemia
NCK1,1,GOBP_RESPONSE_TO_INSULIN
NCL,1,GOBP_RESPONSE_TO_INSULIN
NCOA1,1,GOBP_RESPONSE_TO_INSULIN
NCOA2,1,GOBP_RESPONSE_TO_INSULIN
NCOA5,1,GOBP_RESPONSE_TO_INSULIN
NDEL1,1,GOBP_RESPONSE_TO_INSULIN
NEIL1,1,CTD_Insulin_Resistance
NEUROG3,1,HPO_Hyperglycemia
NF1,1,HPO_Hyperglycemia
NFATC1,1,KEGG_AGE_RAGE_diabetic_complications
NFKBIA,1,KEGG_insulin_resistance
NKX2-2,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
NLRP3,1,CTD_Insulin_Resistance
NOTCH3,1,HPO_Hyperglycemia
NOX1,1,KEGG_AGE_RAGE_diabetic_complications
NOX4,1,KEGG_AGE_RAGE_diabetic_complications
NPHP1,1,HPO_Insulin_resistance
NQO1,1,CTD_Hyperglycemia
NR0B2,1,GOBP_RESPONSE_TO_MONOSACCHARIDE
NR1H2,1,KEGG_insulin_resistance
NR1H3,1,KEGG_insulin_resistance
NR4A1,1,CTD_Insulin_Resistance
NR4A3,1,CTD_Insulin_Resistance
NRAS,1,KEGG_AGE_RAGE_diabetic_complications
NSMCE2,1,HPO_Insulin_resistance
NUCKS1,1,GOBP_RESPONSE_TO_INSULIN
OGA,1,KEGG_insulin_resistance
OSBPL8,1,GOBP_RESPONSE_TO_INSULIN
OTC,1,GOBP_RESPONSE_TO_INSULIN
OTOP1,1,GOBP_RESPONSE_TO_INSULIN
PAK1,1,GOBP_RESPONSE_TO_INSULIN
PARP1,1,GOBP_RESPONSE_TO_INSULIN
PCSK9,1,GOBP_RESPONSE_TO_INSULIN
PDE3B,1,GOBP_RESPONSE_TO_INSULIN
PDK2,1,GOBP_RESPONSE_TO_INSULIN
